"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Try to login with no credential","931","testLoginWithEmptyPassword()","","Fri Feb 06 10:54:21 UTC 2026","passed","Fri Feb 06 10:54:22 UTC 2026","","com.example.gm_4sel.tests.LoginTest","com.example.gm_4sel.tests.LoginTest","testLoginWithEmptyPassword"
"Login test with valid credential","1003","testLoginWithValidCredentials()","","Fri Feb 06 10:54:19 UTC 2026","passed","Fri Feb 06 10:54:20 UTC 2026","","com.example.gm_4sel.tests.LoginTest","com.example.gm_4sel.tests.LoginTest","testLoginWithValidCredentials"
"Checkout with valid information","1628","testCheckoutWithValidInformation()","","Fri Feb 06 10:54:11 UTC 2026","passed","Fri Feb 06 10:54:13 UTC 2026","","com.example.gm_4sel.tests.CheckoutTest","com.example.gm_4sel.tests.CheckoutTest","testCheckoutWithValidInformation"
"Checkout with missing first name","1628","testCheckoutWithMissingFirstName()","","Fri Feb 06 10:54:13 UTC 2026","passed","Fri Feb 06 10:54:15 UTC 2026","","com.example.gm_4sel.tests.CheckoutTest","com.example.gm_4sel.tests.CheckoutTest","testCheckoutWithMissingFirstName"
"Without adding product to the cart go in it","2477","testEmptyCart()","","Fri Feb 06 10:54:15 UTC 2026","passed","Fri Feb 06 10:54:17 UTC 2026","","com.example.gm_4sel.tests.CartTest","com.example.gm_4sel.tests.CartTest","testEmptyCart"
"Adding 1 product to the cart and go in it","1132","testCartWithOneProduct()","","Fri Feb 06 10:54:17 UTC 2026","passed","Fri Feb 06 10:54:18 UTC 2026","","com.example.gm_4sel.tests.CartTest","com.example.gm_4sel.tests.CartTest","testCartWithOneProduct"
"Order completion, from login to final message","1834","testCompleteOrderFlow()","","Fri Feb 06 10:54:09 UTC 2026","passed","Fri Feb 06 10:54:11 UTC 2026","","com.example.gm_4sel.tests.CheckoutCompleteTest","com.example.gm_4sel.tests.CheckoutCompleteTest","testCompleteOrderFlow"
"Try to login with locked user","994","testLoginWithLockedUser()","","Fri Feb 06 10:54:18 UTC 2026","passed","Fri Feb 06 10:54:19 UTC 2026","","com.example.gm_4sel.tests.LoginTest","com.example.gm_4sel.tests.LoginTest","testLoginWithLockedUser"
"Try to login with invalid password","975","testLoginWithInvalidPassword()","","Fri Feb 06 10:54:20 UTC 2026","passed","Fri Feb 06 10:54:21 UTC 2026","","com.example.gm_4sel.tests.LoginTest","com.example.gm_4sel.tests.LoginTest","testLoginWithInvalidPassword"
"Inventory Page is displayed","1116","testInventoryPageDisplayed()","","Fri Feb 06 10:54:08 UTC 2026","passed","Fri Feb 06 10:54:09 UTC 2026","","com.example.gm_4sel.tests.InventoryTest","com.example.gm_4sel.tests.InventoryTest","testInventoryPageDisplayed"
"Inventory Page is displayed","8640","testAddProductToCart()","","Fri Feb 06 10:54:00 UTC 2026","passed","Fri Feb 06 10:54:08 UTC 2026","","com.example.gm_4sel.tests.InventoryTest","com.example.gm_4sel.tests.InventoryTest","testAddProductToCart"
